ssn,sex,overall,v1,v2,v3,v4,v5,v6,v7,v8,v9,v11,v12,v13,v14,v16,v17,v20
197244524,0,4,6,3,5,2,3,3,3,2,4,5,1,4,5,2,5,5
197109533,1,4,4,2,4,6,6,5,7,7,4,5,5,3,6,2,2,5
198017714,0,5,4,6,1,6,5,4,5,4,5,5,6,6,3,6,5,2
197590029,1,4,5,5,4,3,2,1,3,5,5,3,4,4,2,6,7,4
196424122,1,7,6,7,4,7,5,6,6,7,6,7,5,7,6,3,6,5
199029819,0,7,7,5,6,3,6,7,7,7,7,7,5,5,4,4,6,7
199313207,0,4,6,6,7,1,6,2,2,4,3,2,1,2,1,4,5,7
199354394,0,7,7,5,5,6,5,5,3,4,5,4,5,5,6,5,5,6
195737435,0,5,5,5,4,5,6,4,3,4,5,4,5,4,6,4,4,6
198060287,1,3,5,5,6,3,5,3,3,2,4,2,4,3,5,2,4,5
195750041,0,5,7,6,6,2,6,6,7,6,5,6,4,4,3,3,3,5
196564514,0,5,7,2,5,6,7,6,7,6,4,5,5,2,3,4,2,7
198949219,0,6,3,4,3,4,5,5,4,6,5,4,4,5,7,5,5,3
197962206,0,5,4,2,7,6,6,6,4,3,4,6,5,4,5,3,5,5
196240908,0,2,5,2,4,4,6,7,7,5,4,5,2,3,3,2,3,5
196694302,1,3,6,3,3,3,4,7,6,7,2,4,2,3,5,2,2,4
199423856,1,5,5,6,5,4,6,3,2,2,3,4,5,4,6,5,4,6
196380387,0,6,5,4,6,4,7,6,5,7,4,4,5,4,4,4,6,6
197976111,1,5,7,4,6,6,6,4,3,3,6,5,5,5,5,5,4,7
196803783,1,4,4,6,3,6,5,3,1,4,7,4,6,5,6,3,5,5
196650591,0,4,5,2,6,3,4,4,3,5,4,6,6,3,3,5,3,3
196014978,1,6,5,5,6,4,3,6,6,6,6,5,4,4,3,5,4,5
198640212,1,5,5,4,4,4,5,6,5,4,2,4,7,3,5,5,7,3
198140349,0,5,4,5,3,3,2,5,5,3,4,4,3,7,6,6,4,3
196206979,0,3,6,1,4,6,5,2,6,5,1,5,4,2,4,2,2,4
198820347,0,4,4,3,4,6,3,4,5,3,2,4,4,5,5,4,3,3
195801391,1,2,3,2,3,4,6,4,5,6,3,5,4,2,6,3,4,4
198828296,0,4,4,3,6,5,5,6,6,4,1,6,6,2,3,6,2,6
197535196,0,8,6,2,4,5,5,5,4,6,4,4,6,3,5,4,4,7
199403802,0,5,7,4,7,4,6,4,2,5,3,3,2,6,4,4,4,6
197629392,0,3,4,5,2,2,2,2,4,4,6,5,3,6,4,5,4,4
198379457,0,2,4,4,2,1,3,3,2,3,3,3,2,1,3,4,5,6
195777655,0,2,2,4,2,3,1,2,4,4,1,3,2,6,2,4,2,3
199028847,0,5,7,3,7,4,7,4,5,3,4,3,7,6,4,5,3,7
195939958,0,3,6,4,6,3,5,6,6,6,1,6,5,1,5,2,1,7
196788177,0,4,6,5,7,5,4,7,6,7,1,7,3,3,2,1,2,7
199540132,1,5,7,5,7,4,7,7,4,6,2,7,4,2,3,3,2,7
197256846,0,7,4,3,5,5,3,7,7,5,4,7,6,5,4,4,3,6
197067606,0,4,4,3,4,3,5,7,5,6,4,7,2,4,4,4,4,1
197490600,1,4,4,3,3,1,5,5,4,5,3,4,2,6,2,5,5,4
197811030,1,5,4,4,5,5,3,3,4,4,6,3,3,3,4,5,5,5
195688475,0,1,4,4,4,2,4,4,4,3,4,5,2,1,1,1,3,5
197890617,1,8,6,5,6,5,6,5,6,6,6,4,7,6,7,7,4,6
197309433,0,3,5,4,3,4,3,3,4,1,2,3,4,5,2,2,2,5
197704897,1,3,7,2,6,1,7,4,1,3,4,3,5,5,1,3,4,7
198305891,0,7,4,5,5,5,5,5,7,6,4,5,6,6,6,6,6,7
198739818,0,2,5,2,4,3,4,5,5,5,1,6,4,1,4,1,3,4
196286790,0,5,7,5,6,3,3,7,5,7,4,5,4,4,5,4,3,4
198781895,0,4,6,2,3,4,5,6,5,7,3,7,4,5,3,2,3,2
197046441,0,1,2,2,5,4,3,5,3,2,1,2,2,3,4,2,5,5
198131880,0,6,4,5,3,4,6,6,7,6,4,6,4,5,5,4,3,5
198853435,1,4,6,4,3,5,2,5,6,7,3,3,5,1,2,3,4,4
196484998,1,6,5,6,3,5,5,6,3,6,5,6,5,3,4,5,6,2
195430473,1,5,7,5,5,4,5,4,2,4,5,3,5,6,6,5,5,3
199846393,1,6,7,4,5,2,6,6,6,5,7,6,4,3,4,4,3,7
196984676,1,4,5,3,5,4,4,5,5,5,5,6,4,3,1,5,4,3
195551549,0,8,5,2,4,4,4,2,3,3,3,2,5,5,2,5,4,5
198191827,1,3,3,4,2,4,5,3,4,2,5,3,4,5,4,5,6,4
195451144,0,4,6,3,6,3,6,4,2,3,5,5,4,2,4,4,4,6
198364205,0,3,3,2,5,2,4,5,3,6,2,4,2,3,5,1,3,3
199178405,0,4,3,4,3,5,4,4,5,5,7,4,6,7,5,4,4,4
199249982,0,2,3,6,4,5,3,5,2,3,3,4,7,3,6,3,2,4
196588076,1,5,6,2,7,6,5,6,7,6,3,5,5,2,6,3,4,7
199320414,0,1,4,3,4,1,4,4,5,6,3,6,2,1,1,2,2,2
195749565,1,4,2,6,3,4,5,6,6,6,3,7,3,4,2,5,4,4
195412477,1,4,6,3,7,4,4,4,6,7,2,6,5,3,5,2,1,6
198191165,0,5,5,5,5,5,5,5,5,4,4,5,5,3,5,5,4,5
